	participant_id	emotion	intensity	noise_ceiling	sd
0	between_subjects	anger	0	0.8615201875211274	0.0032230143292813467
1	between_subjects	disgust	0	0.871302154262433	0.0023609231790247065
2	between_subjects	fear	0	0.865492016726118	0.003215658108852673
3	between_subjects	happy	0	0.9356901584253577	0.0022912744131461655
4	between_subjects	sadness	0	0.878226553769371	0.003119232018589921
5	between_subjects	surprise	0	0.9165142397246584	0.0027211576205460946
6	between_subjects	anger	1	0.8514568608486994	0.007176244389288415
7	between_subjects	disgust	1	0.8532641310323141	0.006285238779232832
8	between_subjects	fear	1	0.8620167943931658	0.006211032530433429
9	between_subjects	happy	1	0.9065938906686763	0.004629099818885075
10	between_subjects	sadness	1	0.7923205888292443	0.006519321893301948
11	between_subjects	surprise	1	0.9155165777455125	0.0044206160132601174
12	between_subjects	anger	2	0.8334795810283292	0.004731952514746451
13	between_subjects	disgust	2	0.8446394114961716	0.006413545115325515
14	between_subjects	fear	2	0.8531682892293709	0.006992989052374753
15	between_subjects	happy	2	0.9000219312050031	0.00431892896730051
16	between_subjects	sadness	2	0.8214460570305469	0.005994990919419619
17	between_subjects	surprise	2	0.8986756726079994	0.005046104465772637
18	between_subjects	anger	3	0.8435621949681132	0.005278291462279407
19	between_subjects	disgust	3	0.858187287907305	0.00484832190111177
20	between_subjects	fear	3	0.8648491923940057	0.008125037929573581
21	between_subjects	happy	3	0.9348904554015203	0.0036715770642784147
22	between_subjects	sadness	3	0.8757157837049439	0.006275716694573604
23	between_subjects	surprise	3	0.9118460559224877	0.005164269740766432
24	between_subjects	anger	4	0.8698277196234439	0.004253959717768636
25	between_subjects	disgust	4	0.8797103952276062	0.0030631067203501375
26	between_subjects	fear	4	0.8637134705634079	0.004865119658608487
27	between_subjects	happy	4	0.9540196180027074	0.0035689207547840505
28	between_subjects	sadness	4	0.913935996360095	0.005984050065729586
29	between_subjects	surprise	4	0.9163579914151372	0.004127432296785801
30	between_subjects	anger	5	0.880086549968161	0.0059577538117442244
31	between_subjects	disgust	5	0.8938088678288332	0.005239619395173528
32	between_subjects	fear	5	0.8815566578318244	0.004865163482064546
33	between_subjects	happy	5	0.9724264373759705	0.0019331568247293212
34	between_subjects	sadness	5	0.9575738960498694	0.003494923302406046
35	between_subjects	surprise	5	0.9242753567763606	0.0038071117271372456
